name,norm_name,affiliation
Jean-Christophe Sirot,jean christophe sirot,Decathlon
Alexis Slawny,alexis slawny,Societe Generale
Christian Sperandio,christian sperandio,arolla
Julien Sulpis,julien sulpis,Zenika
Stéphane TANKOUA,stephane tankoua,Fabernovel
Stéphane TREBEL,stephane trebel,WeScale
Jérôme Tama,jerome tama,Onepoint
Sarah Tedjani,sarah tedjani,Jolimoi
Pierre Therrode,pierre therrode,SNCF Connect & Tech
Bastien Tran,bastien tran,Comet
Stéphane Trognon,stephane trognon,Crédit Agricole GIP & Restos du Coeur
Daniel VERDIERRE,daniel verdierre,AXA
Aurélie Vache,aurelie vache,OVHcloud
Laurent Vaillant,laurent vaillant,BforBank
Mikaël Van Craeynest,mikael van craeynest,MipihSIB
Emile Vauge,emile vauge,Traefik Labs
Erwan Velu,erwan velu,Criteo
Rémi Verchère,remi verchere,Accenture
Matthieu Vetter,matthieu vetter,WhereWeGo
Alexandre Victoor,alexandre victoor,Dilitrust
Clément Virieux,clement virieux,Ippon
Sylvain Wallez,sylvain wallez,Elastic
Jonathan Winandy,jonathan winandy,
Julien Wittouck,julien wittouck,Freelance / Associé chez Ekité
Nicolas Wlodarczyk,nicolas wlodarczyk,Aerospike
Florian Yger,florian yger,Winamax
Paweł Zajączkowski,pawe zajaczkowski,Xebia
Florent Zara,florent zara,Eclipse Foundation
Pierre Zemb,pierre zemb,Clever Cloud
Clément de Tastes,clement de tastes,SCIAM
yifang dong,yifang dong,Murex
Marine du Mesnil,marine du mesnil,Theodo
geoffrey graveaud,geoffrey graveaud,Inside
jerome leonard,jerome leonard,CGI
johan martinsson,johan martinsson,Indépendant
stephane teyssier,stephane teyssier,Wescale
jan van wassenhove,jan van wassenhove,Sopra Steria
Dimitris Andreadis,dimitris andreadis,IBM
Georgios Andrianakis,georgios andrianakis,IBM
Anastasia Andrikou,anastasia andrikou,WE LEAD
Spyridon Angelopoulos,spyridon angelopoulos,XM
George Argyropoulos,george argyropoulos,Aperion Robotics - iKnowHow S.A.
Andreas Athanasopoulos,andreas athanasopoulos,Allwyn Hellas
Zacharenia Atzitzikaki,zacharenia atzitzikaki,The 10x Manager Academy
Aristeidis Bampakos,aristeidis bampakos,Plex-Earth
thanassis bantios,thanassis bantios,efood
Dimitrios Barpakis,dimitrios barpakis,Interamerican
Evi Chatzidaki,evi chatzidaki,
Alain Chautard,alain chautard,Angular Training
George Christodoulopoulos,george christodoulopoulos,Novibet
Vasilis Christopoulos,vasilis christopoulos,Programium
Ian Cooper,ian cooper,Just Eat Takeaway
Ron Dagdag,ron dagdag,Thomson Reuters
Dennis Doomen,dennis doomen,Aviva Solutions (NL)
Paul Dragoonis,paul dragoonis,
Giota Eftaxia,giota eftaxia,Allwyn Lottery Solutions
Konstantinos Elemenoglou,konstantinos elemenoglou,T-Digital by Deutsche Telekom
Michelle Frost,michelle frost,
Giorgos Gkogkolis,giorgos gkogkolis,Etraveli Group
Sandon Jacobs,sandon jacobs,Confluent
Vanessa Johnson,vanessa johnson,The New York Times
Giorgos Kalfopoulos,giorgos kalfopoulos,Superbo
Dimitris Kaklamanis,dimitris kaklamanis,Code.Hub
Spyros Karavanis,spyros karavanis,ENTERSOFTONE
Vasilis Keleris,vasilis keleris,Bally's Intralot
Michail Kollias,michail kollias,Cosmote Telekom
Alex König,alex konig,AWS
Thanos Korakas,thanos korakas,XM
Antonios Kosmas,antonios kosmas,Novibet
Vasileia Kourli,vasileia kourli,Alpha Bank
Konstantinos Koutitsas,konstantinos koutitsas,HFM
Dimitris Kyriakopoulos,dimitris kyriakopoulos,KOTSOVOLOS
Sotiris Leventis,sotiris leventis,Qognity
Ziyang Liu,ziyang liu,Input Output Global
Sotiris Lyras,sotiris lyras,Allwyn Hellas
Antonis Markopoulos,antonis markopoulos,Netcompany
Anastasia Masadi,anastasia masadi,Ethniki Asfalistiki
Konstantina Mavrodimitraki,konstantina mavrodimitraki,Amazon Web Services
Zisis Michalaris,zisis michalaris,Cosmote Telekom
Jo Minney,jo minney,House Labs
Tobias Modig,tobias modig,Citerus
effie mouzeli,effie mouzeli,Wikimedia Foundation
Ioannis Nanas,ioannis nanas,Yodeck
Penelope Nastou,penelope nastou,Epignosis
Elias Niaos,elias niaos,Prodyna
Alyssa Nicoll,alyssa nicoll,Progress
Tasos Nikolaou,tasos nikolaou,Up Hellas
Giorgos Nikolopoulos,giorgos nikolopoulos,Agile Actors
Karl-Henrik Nilsson,karl henrik nilsson,GAC
Michalis Papadimitriou,michalis papadimitriou,University of Manchester/TornadoVM
Peggy Papadopoulou,peggy papadopoulou,Deloitte
Dimitris Papageorgiou,dimitris papageorgiou,Amazon Web Services
Patroklos Papapetrou,patroklos papapetrou,Octopus deploy
Vadym Pinchuk,vadym pinchuk,Sky
Thomas Pliakas,thomas pliakas,
Christos Psychogyios,christos psychogyios,Epignosis
J. B. Rainsberger,j b rainsberger,"Diaspar Software Services, Inc."
Maxim Salnikov,maxim salnikov,Microsoft
Will Sentance,will sentance,
Alex Shershebnev,alex shershebnev,Zencoder
Sotiris Sotiropoulos,sotiris sotiropoulos,Meta
Kostas Stroggylos,kostas stroggylos,Kaizen Gaming
Pinelopi Theodorakakou,pinelopi theodorakakou,WHEN
Virginia Diana Todea,virginia diana todea,VictoriaMetrics
Thomas Varsamidis,thomas varsamidis,Code.Hub
Jonathan Vila,jonathan vila,Sonar
Adriana Villela,adriana villela,Dynatrace
Konstantinos Vourloumis,konstantinos vourloumis,Code.Hub
Alessandro Vozza,alessandro vozza,Microsoft
Gerasimos Xydas,gerasimos xydas,Superbo
Menelaos Zetas,menelaos zetas,Alpha Bank
Ema Zyka,ema zyka,Camelot Lottery Solutions
Akın Kaldıroğlu,ak n kald roglu,Backend Guru
Fatih Kesgin,fatih kesgin,Akbank Teknoloji
Turhal Temizer,turhal temizer,Akbank Teknoloji
Lemi Orhan Ergin,lemi orhan ergin,Craftgate
Ahmed Enis Erkaya,ahmed enis erkaya,TÜBİTAK BİLGEM YTE
Alper Hankendi,alper hankendi,Hepsiburada
Marco Belladelli,marco belladelli,IBM
Dr. Naci Dai,dr naci dai,Eteration
Serkan Çavuşoğlu,serkan cavusoglu,MongoDB
Haoyi Li,haoyi li,Mill Build
Reza Rahman,reza rahman,Microsoft
Mohamed Taman,mohamed taman,SiriusXI
Otavio Santana,otavio santana,xgeeksio
Alexis Monville,alexis monville,RedHat
Rafael Del Nero,rafael del nero,FabFitFun
Kenan Sevindik,kenan sevindik,Harezmi IT Solutions
Chandra Guntur,chandra guntur,BNY Mellon
Yehonathan Sharvit,yehonathan sharvit,CyCognito
Mads Opheim,mads opheim,Computas AS
Marc Philipp,marc philipp,JUnit
Nupur Agarwal,nupur agarwal,ING
Markus Kett,markus kett,MicroStream
Dominika Tasarz,dominika tasarz,Payara
Mary Grygleski,mary grygleski,AI Collective
Grace Robinson,grace robinson,IBM
Frank Delporte,frank delporte,Azul
Sharat Chander,sharat chander,Oracle
Markus Eisele,markus eisele,IBM Research
Bruno Borges,bruno borges,Microsoft
Piotr Przybyl,piotr przybyl,Elastic
Jayashree S Kumar,jayashree s kumar,Oracle
Brian Sam-Bodden,brian sam bodden,Redis
Sven Ruppert,sven ruppert,Neosec IT
Florian Habermann,florian habermann,MicroStream
Christian Kuemmel,christian kuemmel,MicroStream
Don Bourne,don bourne,IBM
Michal Broz,michal broz,IBM
Mohammad-Ali A'râbi,mohammad ali a rabi,JobRad
Adib Saikali,adib saikali,Broadcom
Andreas Lange,andreas lange,Broadcom
Annegret Junker,annegret junker,codecentric AG
Anthony Dahanne,anthony dahanne,HeroDevs
Badr Nass Lahsen,badr nass lahsen,CyberArk
Christian Beikov,christian beikov,IBM
Cornelia Davis,cornelia davis,Temporal
Dan Dobrin,dan dobrin,Google
Dave Syer,dave syer,Broadcom
David Caron,david caron,Broadcom
Dmitry Chuyko,dmitry chuyko,BellSoft
Fabrizio Lazzaretti,fabrizio lazzaretti,Wavestone
Gregory Green,gregory green,Broadcom
Ivan Šarić,ivan saric,Revolut
Jonatan Ivanov,jonatan ivanov,Broadcom
Joris Kuipers,joris kuipers,Trifork
Joshua Angolano,joshua angolano,Lean Techniques
Juergen Hoeller,juergen hoeller,Broadcom
Laurent Broudoux,laurent broudoux,Microcks.io
Marcus Merrell,marcus merrell,Temporal
Mario Slatinac,mario slatinac,Infinum
Mark Paluch,mark paluch,Broadcom
Mark Pollack,mark pollack,Broadcom
Mauricio Salatino,mauricio salatino,Dash0
Maximilian Schellhorn,maximilian schellhorn,AWS
Mikhail Polivakha,mikhail polivakha,Sberbank
Moritz Halbritter,moritz halbritter,Broadcom
Neven Cvetkovic,neven cvetkovic,Broadcom
Oded Shopen,oded shopen,Broadcom
Paulien van Alst,paulien van alst,OpenValue
Philip Riecks,philip riecks,PragmaTech
Ram Mohan Rao Chukka,ram mohan rao chukka,JFrog
Raquel Pau,raquel pau,Broadcom
Ricardo Ferreira,ricardo ferreira,Redis
Ronald Dehuysser,ronald dehuysser,JobRunr
Rossen Stoyanchev,rossen stoyanchev,Broadcom
Ruben Afonso,ruben afonso,AWS
Sergei Chernov,sergei chernov,Miro
Shibi Ramachandran,shibi ramachandran,ING
Siva Prasad Reddy Katamreddy,siva prasad reddy katamreddy,JetBrains
Thomas Vitale,thomas vitale,Systematic
Tiffany Jernigan,tiffany jernigan,Grafana Labs
Tim van Baarsen,tim van baarsen,ING
Tommy Ludwig,tommy ludwig,Broadcom
Urs Peter,urs peter,Xebia
Vadim Briliantov,vadim briliantov,JetBrains
Vadzim Prudnikau,vadzim prudnikau,Apotek 1
Yuriy Bezsonov,yuriy bezsonov,AWS
Rachel Appel,rachel appel,JetBrains
Manish Askani,manish askani,Picnic Technologies
Django Beek,django beek,Chainguard
Marthijs Berfelo,marthijs berfelo,EDSN
Jan Boonen,jan boonen,the/experts.
Jeroen Borgers,jeroen borgers,jPinpoint B.V.
Wilco Burggraaf,wilco burggraaf,HighTech Innovators
Jettro Coenradie,jettro coenradie,Yuma
Soham Dasgupta,soham dasgupta,Microsoft
Delicia De Jong,delicia de jong,Chainguard
Mark Dirksma,mark dirksma,Energie Data Services Nederland
Ramona Domen,ramona domen,Team Rockstars IT
Jeroen Egelmeers,jeroen egelmeers,Sogeti Netherlands
Hanno Embregts,hanno embregts,Info Support
Iulia Feroli,iulia feroli,Back To Engineering / YouTube
Daniël Floor,daniel floor,Info Support
Annie Freeman,annie freeman,Coralogix
Ashish Ghosh,ashish ghosh,ING Bank
Eli Holderness,eli holderness,The Bennett Institute
Bram Janssens,bram janssens,Info Support
Jens Kat,jens kat,ING
Mario Klaver,mario klaver,Port of Rotterdam
Michael Koers,michael koers,Info Support
Sophie Küster,sophie kuster,cronn GmbH
Aicha Laafia,aicha laafia,Havana Group
Julien Lengrand-Lambert,julien lengrand lambert,
Adam Michalik,adam michalik,Rabobank
Jacopo Nardiello,jacopo nardiello,ING
Saman Nourkhalaj,saman nourkhalaj,Elastic
Janne Ploeger,janne ploeger,Picnic Technologies
Sri Rang,sri rang,
Gunter Rotsaert,gunter rotsaert,ICT TriOpSys
Jos Rutten,jos rutten,Trailblazers
Bert Jan Schrijver,bert jan schrijver,OpenValue
Michel Schudel,michel schudel,Craftsmen
Remco Siemonsma,remco siemonsma,Remcoder
Peter Smink,peter smink,Team Rockstars IT/ASML
Daniël Spee,daniel spee,Yuma
Max Sumrall,max sumrall,Picnic Technologies
Daniele Tonella,daniele tonella,ING
Ko Turk,ko turk,Codelab
Victor Uria Valle,victor uria valle,CERN
Lutske de Leeuw,lutske de leeuw,Craftsmen
Edo van Draanen,edo van draanen,Energie Data Services Nederland
Boyen van Gorp,boyen van gorp,Alliander
Martijn van Iersel,martijn van iersel,TOPdesk
Marco van Veldhuizen,marco van veldhuizen,Chainguard
Linda van der Pal,linda van der pal,Trailblazers
Magda Miu,magda miu,Adobe
Victor Botan,victor botan,AD/01
George Patrașcu,george patrascu,Criteo
Bianca Bulbuc,bianca bulbuc,Adobe
Andrei Mihai,andrei mihai,Adobe
Alin Miu,alin miu,Amazon
Sandeep Adinarayana,sandeep adinarayana,ADP Inc
José R. Almonte C.,jose r almonte c,FranklinCovey
Malavika Balamurali,malavika balamurali,
Ryan Baxter,ryan baxter,
Brian Benz,brian benz,Microsoft
Rohit Bhardwaj,rohit bhardwaj,Salesforce
Hazel Bohon,hazel bohon,Particular Software
Chris Bono,chris bono,Broadcom
Jeanne Boyarsky,jeanne boyarsky,CodeRanch
Barry Burd,barry burd,Drew University
Jorge Cajas,jorge cajas,MangoChango
DaShaun Carter,dashaun carter,
John Ceccarelli,john ceccarelli,Azul
Medha Chakraborty,medha chakraborty,BlackRock
Yee-Kang Chang,yee kang chang,IBM
Chris Corriere,chris corriere,Ecology Computing
John Coyne,john coyne,Capital One
Christopher Curtin,christopher curtin,ADP
Anitha Dakamarri,anitha dakamarri,DFIN
Sam Dengler,sam dengler,JPMorgan Chase
Srijani Dey,srijani dey,Blackrock
Stefano Doni,stefano doni,Akamas
Jonathan Ellis,jonathan ellis,"Brokk, Inc."
Cody Frenzel,cody frenzel,Ippon Technologies
Shriyu Gaglani,shriyu gaglani,
Raju Gandhi,raju gandhi,
Jon Gentsch,jon gentsch,
Karthik Govardhanan,karthik govardhanan,CVS Health Inc
Rodrigo Graciano,rodrigo graciano,BNY
Jonathon Graf,jonathon graf,Lean Techniques
Joe Grandja,joe grandja,Broadcom
Frank Greco,frank greco,NYJavaSIG
Leigh Griffin,leigh griffin,Red Hat
Freddy Guime,freddy guime,
Ayan Gupta,ayan gupta,Microsoft
Emmanuel Guzmán,emmanuel guzman,Clicklease
Mo Haghighi,mo haghighi,Discover/Capital One
Emily Harden,emily harden,"Harden Consulting, LLC"
Douglas Hawkins,douglas hawkins,Datadog
Daniel Hinojosa,daniel hinojosa,dhinojosa@evolutionnext.com
Cora Iberkleid,cora iberkleid,
Leonid Igolnik,leonid igolnik,
Nerando Johnson,nerando johnson,Hygiena
Tim Kelly,tim kelly,MongoDB
Billy Korando,billy korando,Oracle
Kenneth Kousen,kenneth kousen,"Kousen IT, Inc."
Josh Kurz,josh kurz,JPMorganChase
Gant Laborde,gant laborde,Infinite Red
Laurie Lay,laurie lay,Ippon Technologies
Theo Lebrun,theo lebrun,Ippon Technologies
Luis Majano,luis majano,
Aaron McClennen,aaron mcclennen,AT&T
Sean McNealy,sean mcnealy,
Jeremy Meiss,jeremy meiss,OneStream Software
Ricardo Mello,ricardo mello,MongoDB
Brayan Muñoz V.,brayan munoz v,Dominican Republic JUG
Sibasis Padhi,sibasis padhi,Walmart Inc.
Prasanth kumar Pari,prasanth kumar pari,Capital One
David Parry,david parry,Qodo.ai
Sujith Paul,sujith paul,Richmond National
Niranjan Prithviraj,niranjan prithviraj,Coinbase
Luiz Real,luiz real,Fundunesp
Jennifer Reif,jennifer reif,Neo4j
Glenn Renfro,glenn renfro,Broadcom
Alex Riviere,alex riviere,Hygiena
Martin Rojas,martin rojas,PlayOn Sports
Erin Schnabel,erin schnabel,IBM
Nathaniel Schutta,nathaniel schutta,Thoughtworks
Tim Sparg,tim sparg,KLM
Zoe Steinkamp,zoe steinkamp,ClickHouse
Chris Sterling,chris sterling,
Kevin Strohmeyer,kevin strohmeyer,
Anders Swanson,anders swanson,Oracle Corp.
Brandon Tylke,brandon tylke,
Heather VanCura,heather vancura,JCP
Dan Vega,dan vega,Broadcom
Phil Webb,phil webb,Broadcom
Rob Winch,rob winch,Broadcom
Brad Wood,brad wood,Ortus
Ted M. Young,ted m young,JitterTed Productions
Ho Jong Yu,ho jong yu,
Daneez Zamangil,daneez zamangil,Callrail
Richard Fichtner,richard fichtner,
Robert Eichenseer,robert eichenseer,
Johannes Rabauer,johannes rabauer,
Christoph Menzel,christoph menzel,
Marco Emrich,marco emrich,
Sven Eiter,sven eiter,
Stefan Mintert,stefan mintert,
Viktor Rechel,viktor rechel,
Thomas Lemberger,thomas lemberger,
Sebastian Hempel,sebastian hempel,
Janek Fellien,janek fellien,
Johannes Dienst,johannes dienst,
Gregor Biswanger,gregor biswanger,
Marcus Fihlon,marcus fihlon,
Gerd Aschemann,gerd aschemann,
Tobias Frech,tobias frech,
Dominik Galler,dominik galler,
Benedikt Loup,benedikt loup,
Thorsten Wussow,thorsten wussow,
Sinan Yildirim,sinan yildirim,
Fried Saacke,fried saacke,
Dr. Venkat Subramaniam,dr venkat subramaniam,
Katrin Rabow,katrin rabow,
Nabil Abdel-Hafeez,nabil abdel hafeez,
Alexander von Below,alexander von below,
Marvin Rensing,marvin rensing,
Felix Tensing,felix tensing,
Dr. Oliver Kopp,dr oliver kopp,
Giulia Maier,giulia maier,
Michael Landreh,michael landreh,
Lena Tangelder,lena tangelder,
Dr. Felix Kammerlander,dr felix kammerlander,
Stefan Nachtrab,stefan nachtrab,
Emil Pawlowski,emil pawlowski,
Arno Scholz,arno scholz,
Fedor Zholud,fedor zholud,
Sven Woltmann,sven woltmann,
Clemens Hübner,clemens hubner,
Fin Labusch,fin labusch,
Thomas Ruhroth,thomas ruhroth,
Holger Jansen,holger jansen,
Carmen Delgado,carmen delgado,
Dennis Schladebeck,dennis schladebeck,
Alexander Eimer,alexander eimer,
Dan Denich,dan denich,
Edward-Jacob Fakhouri,edward jacob fakhouri,
Rainald Menge-Sonnentag,rainald menge sonnentag,
Daniel Vergien,daniel vergien,
Bernhard Löwenstein,bernhard lowenstein,
Ionida Löwenstein,ionida lowenstein,
Ole Koring,ole koring,
Joern Karthaus,joern karthaus,
Markus Zimmermann,markus zimmermann,
Ingo Eichhorst,ingo eichhorst,
Michael Vitz,michael vitz,INNOQ
Dr. Jens Bendisposto,dr jens bendisposto,
Gregor Trefs,gregor trefs,
Sebastian Rose,sebastian rose,
Ferdinand Ade,ferdinand ade,
Jochen Mader,jochen mader,
Michaela Schrötel,michaela schrotel,
Christoph Gerlach,christoph gerlach,
Christian Fritz,christian fritz,
Daniel Kocot,daniel kocot,
Dr. Miriam Greis,dr miriam greis,
Lisa Rosenberg,lisa rosenberg,
Leonóra Dér,leonora der,
Sina Orth,sina orth,
Marc Hoffmann,marc hoffmann,
Andres Almiray,andres almiray,JReleaser
Andrej Lustin,andrej lustin,
Nikolas Hermann,nikolas hermann,
Wolfgang Schell,wolfgang schell,
Benjamin Wolf,benjamin wolf,
Altug Bilgin Altintas,altug bilgin altintas,
Laurens van der Kooi,laurens van der kooi,
Lukas Ladenberger,lukas ladenberger,
Carsten Lill,carsten lill,
Martin Toshev,martin toshev,
Prof. Dr. Cay Horstmann,prof dr cay horstmann,
Sascha Selzer,sascha selzer,
Marcel Bagemihl,marcel bagemihl,
Christofer Dutz,christofer dutz,
Matthias Bünger,matthias bunger,
Daniel Rosowski,daniel rosowski,
Dr. Jendrik Johannes,dr jendrik johannes,
Dr. Mihaela Gheorghe-Roman,dr mihaela gheorghe roman,
Martijn Dashorst,martijn dashorst,
Frederik Wystup,frederik wystup,
Andreas Voigt,andreas voigt,
Lukas Pradel,lukas pradel,
Marta Blaszczyk,marta blaszczyk,
Marco Klaassen,marco klaassen,
Sebastian Sprenger,sebastian sprenger,
Felix Seidel,felix seidel,
Tamara Josten,tamara josten,
Christoph Eifert,christoph eifert,
Carsten Czeczine,carsten czeczine,
Prof. Dr. Olaf Herden,prof dr olaf herden,
Miroslav Wengner,miroslav wengner,
Benjamin Marwell,benjamin marwell,
Melanie Andrisek,melanie andrisek,
Felix Medam,felix medam,
Christian Heilmann,christian heilmann,
Dominika Tasarz-Sochacka,dominika tasarz sochacka,
Artun Subasi,artun subasi,
Sascha Böhme,sascha bohme,
Jan Knoblich,jan knoblich,
Edwin Günthner,edwin gunthner,
Benedikt Werner,benedikt werner,
Marius Hanl,marius hanl,
Florian Sommer,florian sommer,
Moritz Tiedje,moritz tiedje,
David Burkhart,david burkhart,
Marcus Nörder-Tuitje,marcus norder tuitje,
Ed Burns,ed burns,
Oliver Manz,oliver manz,
Julia Pedak,julia pedak,
Thomas Krieger,thomas krieger,
Christoph Iserlohn,christoph iserlohn,
Dr. Stefan Schlott,dr stefan schlott,
Prof. Dr. Johannes Schildgen,prof dr johannes schildgen,
Jan Jürjens,jan jurjens,
Dr. Annegret Junker,dr annegret junker,
Jonas Bandi,jonas bandi,IvoryCode GmbH
Fabrizio Beretta Piccoli,fabrizio beretta piccoli,Swiss Post
Nadine Broghammer,nadine broghammer,Swiss Post
Céline Camacho,celine camacho,Swiss Post
Giovanni Degiorgi,giovanni degiorgi,Swiss Post
Jasmin Fluri,jasmin fluri,Schaltstelle
Younes Jaaidi,younes jaaidi,Marmicode
Vojtech Mašek,vojtech masek,FlowUp
Stefano Maestri,stefano maestri,IBM
Connor McDonald,connor mcdonald,Oracle Corporation
Maurice Naftalin,maurice naftalin,Morningside Light Ltd
Francesco Nigro,francesco nigro,IBM
Warren Parad,warren parad,Authress
Alessandra Pasini,alessandra pasini,Amazon Web Services
Emanuel Peter,emanuel peter,Oracle
Marc Sallin,marc sallin,Swiss Post
Makan Sepehrifar,makan sepehrifar,Code Nomads
Alessio Soldano,alessio soldano,IBM
César Soto Valero,cesar soto valero,SEB Group
Pawel Suchołbiak,pawel sucho biak,EPAM Systems
Janina Sutter,janina sutter,Red Hat Switzerland
Eros Taborelli,eros taborelli,Julius Baer
Joel Verezhak,joel verezhak,Grafana Labs
Federico Yankelevich,federico yankelevich,
AL Rodriguez,al rodriguez,Duende
Alexis Fortin-Côté,alexis fortin cote,Vooban
Ali Amine Ghazali,ali amine ghazali,Cofomo
Andres Pineda,andres pineda,AFL Global
Andrew Lombardi,andrew lombardi,"Mystic Coders, LLC"
Anna Filina,anna filina,Filina Consulting
Anthony Vallee-Dubois,anthony vallee dubois,Google Canada
Arne Blankerts,arne blankerts,thePHP.cc
Arvin Singla,arvin singla,
Ashleigh Lodge,ashleigh lodge,Neovation Learning Solutions
Ben Dechrai,ben dechrai,
Benoit des Ligneris,benoit des ligneris,ESA
Carl Alexander,carl alexander,Ymir
Carl Lapierre,carl lapierre,Osedea
Cedric L'homme,cedric l homme,Osedea
Chad Green,chad green,Jasper Engines & Transmissions
Chris Hartjes,chris hartjes,Ziff Davis Shopping
Christopher Harrison,christopher harrison,GitHub
Christopher Neugebauer,christopher neugebauer,Maribel Health / Python Software Foundation
Damien Seguy,damien seguy,Exakat
Daniel Mikusa,daniel mikusa,7SIGNAL Inc
Daniel Scherzer,daniel scherzer,
Dave Liddament,dave liddament,Lamp Bristol
David Buchmann,david buchmann,Liip AG
David Guida,david guida,Microsoft
Derick Rethans,derick rethans,
Dwayne McDaniel,dwayne mcdaniel,GitGuardian
Erik Beaulieu,erik beaulieu,Openmind Technologies
Erik Hanchett,erik hanchett,AWS
Etienne Caron,etienne caron,Kanastruk Services Conseils
Étienne Vézina,etienne vezina,
Florian Engelhardt,florian engelhardt,Datadog
Francis Lavoie,francis lavoie,Loopsin
Francis Pieraut,francis pieraut,SiliconIsland.ai
Frank Boucher,frank boucher,Reka
Gerard Sans,gerard sans,Google Developer Expert; former AWS Amplify team
Guy Nesher,guy nesher,Redis
Heath Kesler,heath kesler,OpenTek Solutions
Henri Helvetica,henri helvetica,
Henri Tremblay,henri tremblay,TS Imagine
Jessica Tornare,jessica tornare,
Joel Tosi,joel tosi,Dojo & Co
Johan Janssens,johan janssens,Timble
Jonathan Marcil,jonathan marcil,JM International
Jordan Kasper,jordan kasper,
Josh Reed,josh reed,Aiven
Joyce Peralta,joyce peralta,McGill University
Julian Egelstaff,julian egelstaff,Formulize
Justine Gehring,justine gehring,Gologic
Karol Deland,karol deland,Workleap
Kathryn Grayson Nanz,kathryn grayson nanz,Progress Software
Kilian Valkhof,kilian valkhof,Polypane
Kito Mann,kito mann,"Virtua, Inc."
Loïc Tréhin,loic trehin,ESA Series
Louis Beaudoin-Allaire,louis beaudoin allaire,Workleap
Maarten Balliauw,maarten balliauw,Duende Software
Marc-Antoine Aubé,marc antoine aube,Poka
Marcus Bointon,marcus bointon,Devalps
Marian Marinov,marian marinov,Web Hosting Canada
Mario Bittencourt,mario bittencourt,SAP
Martin Legris,martin legris,Obvious Leap
Mathieu Fillion,mathieu fillion,Wepoint
Mathieu Santostefano,mathieu santostefano,SensioLabs
Mathys Deshaies,mathys deshaies,Desjardins
Maxime David,maxime david,AWS
Micah Silverman,micah silverman,Snyk
Michael Dawson,michael dawson,Red Hat
Mikaël Francoeur,mikael francoeur,Turso
Mohamed Wali,mohamed wali,Amazon Web Services
Nicholas Nadeau,nicholas nadeau,Onix
Nick Taylor,nick taylor,Pomerium
Paul Conroy,paul conroy,Square1 Software
Pavel Makhov,pavel makhov,Lightspeed Commerce
Peter Zaitsev,peter zaitsev,"Percona, Coroot, FerretDB"
Philippe Arteau,philippe arteau,ServiceNow
Ralf Westphal,ralf westphal,
Raphaël Rougeron,raphael rougeron,Telaqua
reza madabadi,reza madabadi,
Rida Al Barazi,rida al barazi,Amidship
Rob Richardson,rob richardson,robrich.org
Robert Hodges,robert hodges,Altinity
Rowdy Rabouw,rowdy rabouw,Nationale-Nederlanden
Scott Stroz,scott stroz,Oracle
Semira Allen,semira allen,Grainger
Shao Hang He,shao hang he,DevFortress
Sherif Behna,sherif behna,SHB Informatique inc.
Simon MacDonald,simon macdonald,sanity.io
Stephan Hochdoerfer,stephan hochdoerfer,bitExpert AG
Tamires Marcal,tamires marcal,McGill
Thibault Friedrich,thibault friedrich,Plusgrade
Thijs Feryn,thijs feryn,Varnish Software
Vagmi Mudumbai,vagmi mudumbai,Urai AI Corp.
Wesley Cabus,wesley cabus,Duende Software
Xavier Bouclet,xavier bouclet,La fabrique Digit’Owl
